bus_id,time,ridership_count,timestamp,hour,time_period,id,name,routeId,routeName,routeName_short,route_id,stop_sequence
19399,0,4,2025-10-01 06:00:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
13216,0,17,2025-10-01 06:00:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15189,0,1,2025-10-01 06:00:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,0,16,2025-10-01 06:00:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
19051,0,18,2025-10-01 06:00:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
13216,5,7,2025-10-01 06:05:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15189,5,1,2025-10-01 06:05:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
19399,5,0,2025-10-01 06:05:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
15185,5,4,2025-10-01 06:05:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
19051,5,19,2025-10-01 06:05:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
19051,10,21,2025-10-01 06:10:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
15189,10,4,2025-10-01 06:10:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,10,7,2025-10-01 06:10:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
19399,10,0,2025-10-01 06:10:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
13216,10,10,2025-10-01 06:10:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
19051,15,26,2025-10-01 06:15:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
15185,15,12,2025-10-01 06:15:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
15189,15,4,2025-10-01 06:15:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
19399,15,3,2025-10-01 06:15:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
13216,15,10,2025-10-01 06:15:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
19051,20,30,2025-10-01 06:20:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
19399,20,7,2025-10-01 06:20:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
13216,20,13,2025-10-01 06:20:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15189,20,2,2025-10-01 06:20:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,20,9,2025-10-01 06:20:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
15185,25,7,2025-10-01 06:25:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
19399,25,9,2025-10-01 06:25:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
15189,25,1,2025-10-01 06:25:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
19051,25,30,2025-10-01 06:25:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
13216,25,17,2025-10-01 06:25:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
19399,30,1,2025-10-01 06:30:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
15185,30,6,2025-10-01 06:30:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
13216,30,25,2025-10-01 06:30:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15189,30,3,2025-10-01 06:30:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
19051,30,15,2025-10-01 06:30:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
15189,35,1,2025-10-01 06:35:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,35,5,2025-10-01 06:35:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
19399,35,9,2025-10-01 06:35:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
13216,35,30,2025-10-01 06:35:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
19051,35,14,2025-10-01 06:35:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
19051,40,14,2025-10-01 06:40:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
13216,40,30,2025-10-01 06:40:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15189,40,1,2025-10-01 06:40:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,40,6,2025-10-01 06:40:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
19399,40,10,2025-10-01 06:40:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
19399,45,4,2025-10-01 06:45:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
19051,45,7,2025-10-01 06:45:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
15189,45,7,2025-10-01 06:45:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,45,9,2025-10-01 06:45:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
13216,45,40,2025-10-01 06:45:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15185,50,9,2025-10-01 06:50:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
15189,50,7,2025-10-01 06:50:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
19399,50,9,2025-10-01 06:50:00,6,Morning,19399.0,4063,55368.0,H Route,h,h,"1,2,3,11,10,8,7,5"
19051,50,0,2025-10-01 06:50:00,6,Morning,19051.0,4061,54551.0,REXL Route,rexl,rexl,"17,18,16,12,13"
13216,50,40,2025-10-01 06:50:00,6,Morning,13216.0,4040,54545.0,LX Route,lx,lx,"1,2,3,12,13,14"
15189,55,4,2025-10-01 06:55:00,6,Morning,15189.0,130,59451.0,B/L Loop,b,b,"12,13,14,6,9,10"
15185,55,18,2025-10-01 06:55:00,6,Morning,15185.0,126,54543.0,EE Route,ee,ee,"1,2,23,17,18,19,20,21,16,22,3"
